央视,#genre#
宁夏卫视,http://home.cola-service.com:51973/rtp/233.18.204.117:5140
北京卫视,http://home.cola-service.com:51973/rtp/233.18.204.87:5140
北京卫视,http://home.cola-service.com:51973/rtp/233.18.204.118:5140
湖南卫视,http://home.cola-service.com:51973/rtp/233.18.204.86:5140
湖南卫视,http://home.cola-service.com:51973/rtp/233.18.204.119:5140
江苏卫视,http://home.cola-service.com:51973/rtp/233.18.204.85:5140
江苏卫视,http://home.cola-service.com:51973/rtp/233.18.204.120:5140
浙江卫视,http://home.cola-service.com:51973/rtp/233.18.204.121:5140
旅游卫视,http://home.cola-service.com:51973/rtp/233.18.204.122:5140
广西卫视,http://home.cola-service.com:51973/rtp/233.18.204.107:5140
广西卫视,http://home.cola-service.com:51973/rtp/233.18.204.123:5140
四川卫视,http://home.cola-service.com:51973/rtp/233.18.204.99:5140
四川卫视,http://home.cola-service.com:51973/rtp/233.18.204.124:5140
山东卫视,http://home.cola-service.com:51973/rtp/233.18.204.91:5140
山东卫视,http://home.cola-service.com:51973/rtp/233.18.204.125:5140
辽宁卫视,http://home.cola-service.com:51973/rtp/233.18.204.96:5140
辽宁卫视,http://home.cola-service.com:51973/rtp/233.18.204.126:5140
安徽卫视,http://home.cola-service.com:51973/rtp/233.18.204.93:5140
安徽卫视,http://home.cola-service.com:51973/rtp/233.18.204.127:5140
东南卫视,http://home.cola-service.com:51973/rtp/233.18.204.94:5140
东南卫视,http://home.cola-service.com:51973/rtp/233.18.204.128:5140
天津卫视,http://home.cola-service.com:51973/rtp/233.18.204.97:5140
天津卫视,http://home.cola-service.com:51973/rtp/233.18.204.129:5140
江西卫视,http://home.cola-service.com:51973/rtp/233.18.204.95:5140
江西卫视,http://home.cola-service.com:51973/rtp/233.18.204.130:5140
吉林卫视,http://home.cola-service.com:51973/rtp/233.18.204.108:5140
吉林卫视,http://home.cola-service.com:51973/rtp/233.18.204.131:5140
山西卫视,http://home.cola-service.com:51973/rtp/233.18.204.132:5140
青海卫视,http://home.cola-service.com:51973/rtp/233.18.204.112:5140
青海卫视,http://home.cola-service.com:51973/rtp/233.18.204.133:5140
西藏卫视,http://home.cola-service.com:51973/rtp/233.18.204.134:5140
陕西卫视,http://home.cola-service.com:51973/rtp/233.18.204.135:5140
云南卫视,http://home.cola-service.com:51973/rtp/233.18.204.106:5140
云南卫视,http://home.cola-service.com:51973/rtp/233.18.204.136:5140
甘肃卫视,http://home.cola-service.com:51973/rtp/233.18.204.110:5140
甘肃卫视,http://home.cola-service.com:51973/rtp/233.18.204.137:5140
广东卫视,http://home.cola-service.com:51973/rtp/233.18.204.88:5140
广东卫视,http://home.cola-service.com:51973/rtp/233.18.204.138:5140
黑龙江卫视,http://home.cola-service.com:51973/rtp/233.18.204.90:5140
黑龙江卫视,http://home.cola-service.com:51973/rtp/233.18.204.139:5140
河北卫视,http://home.cola-service.com:51973/rtp/233.18.204.103:5140
河北卫视,http://home.cola-service.com:51973/rtp/233.18.204.140:5140
内蒙古卫视,http://home.cola-service.com:51973/rtp/233.18.204.141:5140
湖北卫视,http://home.cola-service.com:51973/rtp/233.18.204.92:5140
湖北卫视,http://home.cola-service.com:51973/rtp/233.18.204.142:5140
重庆卫视,http://home.cola-service.com:51973/rtp/233.18.204.100:5140
重庆卫视,http://home.cola-service.com:51973/rtp/233.18.204.143:5140
海南卫视,http://home.cola-service.com:51973/rtp/233.18.204.102:5140
贵州卫视,http://home.cola-service.com:51973/rtp/233.18.204.101:5140
贵州卫视,http://home.cola-service.com:51973/rtp/233.18.204.144:5140
河南卫视,http://home.cola-service.com:51973/rtp/233.18.204.105:5140
河南卫视,http://home.cola-service.com:51973/rtp/233.18.204.145:5140
深圳卫视,http://home.cola-service.com:51973/rtp/233.18.204.89:5140
深圳卫视,http://home.cola-service.com:51973/rtp/233.18.204.146:5140
新疆卫视,http://home.cola-service.com:51973/rtp/233.18.204.147:5140
兵团卫视,http://home.cola-service.com:51973/rtp/233.18.204.148:5140
三沙卫视,http://home.cola-service.com:51973/rtp/233.18.204.149:5140
